Trip_ID,Vehicle_ID,Driver_ID,Manufacturer,Model,Registration_No,Battery_Capacity_kWh,Current_Battery_%,Battery_Remaining_%,Expected_Range_km,Status,Date_Time,Start_Time,Distance_km,Avg_Speed_kmph,Revenue,Electricity_Cost,Maintenance_Cost,Overspeed_Count
TRIP-100001,EV-1009,DRV-5009,Kia,EV9,REG-95ME-4405,100,99,99,342,Garage,2026-12-23 09:13:24,08:44,0.0,0.0,0.0,0.0,0.0,0
TRIP-100002,EV-1037,DRV-5037,Tesla,Model Y,REG-46CV-5665,75,38,38,148,Garage,2026-01-02 16:40:11,10:07,0.0,0.0,0.0,0.0,0.0,0
TRIP-100003,EV-1012,DRV-5012,Kia,EV6,REG-11XL-6570,77,15,15,64,Garage,2026-12-04 19:45:58,16:40,0.0,0.0,0.0,0.0,0.0,0
TRIP-100004,EV-1011,DRV-5011,BYD,Seal,REG-49SV-2387,82,97,97,418,Garage,2026-02-06 23:19:42,15:54,0.0,0.0,0.0,0.0,0.0,0
TRIP-100005,EV-1050,DRV-5050,Tata,Nexon EV,REG-53YA-8703,40,69,69,246,Garage,2026-06-13 11:45:06,17:20,0.0,0.0,0.0,0.0,0.0,0
TRIP-100006,EV-1044,DRV-5044,Kia,EV6,REG-47TG-9858,77,19,19,71,Running,2026-11-06 15:37:39,18:34,119.74,60.8,147.68,0.0,0.0,0
TRIP-100007,EV-1005,DRV-5005,BYD,Atto 3,REG-37LD-8792,50,11,11,37,Garage,2026-09-15 03:19:49,06:40,0.0,0.0,0.0,0.0,0.0,0
TRIP-100008,EV-1018,DRV-5018,Hyundai,Kona EV,REG-61RQ-8391,48,27,27,108,Running,2026-03-11 05:22:46,14:31,66.71,31.8,91.99,0.0,0.0,1
TRIP-100009,EV-1033,DRV-5033,Kia,EV6,REG-21AH-8788,77,70,70,227,Charging,2026-11-23 09:23:55,17:32,0.0,0.0,0.0,22.07,0.0,0
TRIP-100010,EV-1020,DRV-5020,Tesla,Model Y,REG-70HS-3349,75,57,57,211,Charging,2026-01-22 23:01:41,23:22,0.0,0.0,0.0,16.64,0.0,0
TRIP-100011,EV-1042,DRV-5042,Hyundai,Kona EV,REG-51WT-9670,48,13,13,55,Garage,2026-04-09 19:35:47,05:31,0.0,0.0,0.0,0.0,0.0,0
TRIP-100012,EV-1010,DRV-5010,Hyundai,Ioniq 5,REG-46HO-5814,77,87,87,368,Garage,2026-03-29 16:53:27,02:59,0.0,0.0,0.0,0.0,0.0,0
TRIP-100013,EV-1028,DRV-5028,BYD,Seal,REG-59OL-4343,82,21,21,81,Charging,2026-12-10 01:39:41,03:09,0.0,0.0,0.0,32.78,0.0,0
TRIP-100014,EV-1005,DRV-5005,BYD,Atto 3,REG-37LD-8792,50,35,35,133,Running,2026-01-05 01:10:00,10:25,127.79,62.4,274.03,0.0,0.0,0
TRIP-100015,EV-1014,DRV-5014,Hyundai,Kona EV,REG-81FF-2854,48,61,61,209,Charging,2026-05-16 15:16:04,22:09,0.0,0.0,0.0,25.63,0.0,0
TRIP-100016,EV-1016,DRV-5016,BYD,Atto 3,REG-98NB-1442,50,16,16,63,Running,2026-05-04 06:53:24,03:12,115.53,72.4,244.96,0.0,0.0,0
TRIP-100017,EV-1030,DRV-5030,Hyundai,Kona EV,REG-22GX-1920,48,31,31,129,Charging,2026-05-23 06:37:36,19:21,0.0,0.0,0.0,25.36,0.0,0
TRIP-100018,EV-1016,DRV-5016,BYD,Atto 3,REG-98NB-1442,50,81,81,313,Running,2026-07-17 06:12:35,17:10,22.7,41.9,44.0,0.0,0.0,0
TRIP-100019,EV-1046,DRV-5046,Tata,Punch EV,REG-57GE-9327,25,68,68,262,Charging,2026-10-17 08:22:00,11:22,0.0,0.0,0.0,10.18,0.0,0
TRIP-100020,EV-1019,DRV-5019,Hyundai,Ioniq 5,REG-60LM-9597,77,50,50,170,Charging,2026-02-09 14:52:06,15:53,0.0,0.0,0.0,29.09,0.0,0
TRIP-100021,EV-1017,DRV-5017,BYD,Atto 3,REG-40XE-9091,50,25,25,101,Garage,2026-06-30 16:07:21,20:22,0.0,0.0,0.0,0.0,0.0,0
TRIP-100022,EV-1021,DRV-5021,Tesla,Model 3,REG-17KV-1641,60,76,76,320,Garage,2026-09-20 23:53:01,07:04,0.0,0.0,0.0,0.0,0.0,0
TRIP-100023,EV-1038,DRV-5038,BYD,Atto 3,REG-44OG-8515,50,20,20,84,Garage,2026-02-27 00:57:56,04:56,0.0,0.0,0.0,0.0,0.0,0
TRIP-100024,EV-1047,DRV-5047,BYD,Atto 3,REG-57KE-2952,50,91,91,304,Running,2026-04-28 00:07:27,20:48,158.16,40.3,191.36,0.0,0.0,0
TRIP-100025,EV-1001,DRV-5001,Tata,Punch EV,REG-67ZP-2128,25,67,67,255,Charging,2026-04-23 17:42:32,02:04,0.0,0.0,0.0,23.8,0.0,0
TRIP-100026,EV-1032,DRV-5032,BYD,Atto 3,REG-70XV-6697,50,20,20,72,Running,2026-03-02 07:34:49,16:56,62.36,55.2,75.75,0.0,0.0,0
TRIP-100027,EV-1009,DRV-5009,Kia,EV9,REG-95ME-4405,100,56,56,198,Charging,2026-12-01 22:06:39,01:51,0.0,0.0,0.0,32.5,0.0,0
TRIP-100028,EV-1012,DRV-5012,Kia,EV6,REG-11XL-6570,77,39,39,159,Charging,2026-11-19 06:58:47,17:17,0.0,0.0,0.0,30.67,0.0,0
TRIP-100029,EV-1040,DRV-5040,Kia,EV9,REG-86TG-1070,100,33,33,141,Garage,2026-08-01 10:09:20,02:52,0.0,0.0,0.0,0.0,0.0,0
TRIP-100030,EV-1025,DRV-5025,BYD,Atto 3,REG-68ZH-1146,50,33,33,140,Garage,2026-04-26 10:54:49,10:35,0.0,0.0,0.0,0.0,0.0,0
TRIP-100031,EV-1016,DRV-5016,BYD,Atto 3,REG-98NB-1442,50,13,13,55,Charging,2026-04-08 07:59:58,13:39,0.0,0.0,0.0,27.58,0.0,0
TRIP-100032,EV-1009,DRV-5009,Kia,EV9,REG-95ME-4405,100,97,97,409,Garage,2026-04-17 17:02:52,23:11,0.0,0.0,0.0,0.0,0.0,0
TRIP-100033,EV-1048,DRV-5048,Tata,Nexon EV,REG-64CK-1324,40,77,77,294,Garage,2026-02-12 23:25:50,21:03,0.0,0.0,0.0,0.0,0.0,0
TRIP-100034,EV-1015,DRV-5015,Tesla,Model 3,REG-40VN-6631,60,33,33,137,Running,2026-04-11 20:27:26,13:55,81.15,62.4,192.76,0.0,0.0,0
TRIP-100035,EV-1048,DRV-5048,Tata,Nexon EV,REG-64CK-1324,40,14,14,54,Charging,2026-05-01 06:22:50,06:45,0.0,0.0,0.0,32.25,0.0,0
TRIP-100036,EV-1041,DRV-5041,Tesla,Model 3,REG-37SU-9647,60,22,22,75,Running,2026-11-13 05:32:54,01:21,131.41,48.9,238.35,0.0,0.0,0
TRIP-100037,EV-1025,DRV-5025,BYD,Atto 3,REG-68ZH-1146,50,99,99,380,Garage,2026-04-18 22:24:35,06:34,0.0,0.0,0.0,0.0,0.0,0
TRIP-100038,EV-1025,DRV-5025,BYD,Atto 3,REG-68ZH-1146,50,20,20,65,Garage,2026-10-15 21:10:21,10:58,0.0,0.0,0.0,0.0,0.0,0
TRIP-100039,EV-1013,DRV-5013,Tata,Punch EV,REG-94KU-9544,25,72,72,269,Charging,2026-02-02 21:14:02,22:50,0.0,0.0,0.0,23.92,0.0,0
